Category,PSA02,Name,Display Name,Brand,Custom,Hidden,Specs,Downloads,Features,Images
Fingerprint,E9C_WI-FI,E9C Wi Fi,E9C Wi Fi,eSSL,no,no,8,1,5,0
Fingerprint,F22+ID+WIFI,F22 + Wi Fi,F22 + Wi Fi,eSSL,no,no,11,3,5,0
Fingerprint,FR1200,FR 1200,FR 1200,eSSL,no,no,2,1,3,0
Fingerprint,Iclock990,I Clock 990,I Clock 990,eSSL,no,no,0,0,0,0
Fingerprint,K21-Pro,K21 Pro,K21 Pro,eSSL,no,no,6,1,4,0
Fingerprint,K30-pro,K30-pro,K 30 Pro,eSSL,no,no,8,2,5,0
Fingerprint,K90-Pro,K90 Pro,K90 Pro,eSSL,no,no,7,1,4,0
Fingerprint,SF100,SF 100,SF 100,eSSL,no,no,0,0,0,0
Fingerprint,X7,X7,X7,eSSL,no,no,5,1,5,0
Fingerprint,X990,X 990,X 990,eSSL,no,no,0,0,0,0
Fingerprint,eSSL9500,eSSL9500,eSSL9500,eSSL,no,yes,0,0,0,0
Fingerprint,f18,F 18,F 18,eSSL,no,no,0,0,0,0
Face Recognition,Jupiter,Ai Face Jupiter,Ai Face Jupiter,eSSL,no,no,0,0,0,0
Face Recognition,AiFAce-Mars,Ai Face Mars,Ai Face Mars,eSSL,no,no,0,0,0,0
Face Recognition,AiFAce-Pluto,Ai Face Pluto New,Ai Face Pluto New,eSSL,no,no,8,1,5,0
Face Recognition,AiFace-Venus,Ai Face Venus,Ai Face Venus,eSSL,no,yes,0,0,0,0
Face Recognition,AiFace_Orcus,Ai Face Orcus,Ai Face Orcus,eSSL,no,no,8,2,7,0
Face Recognition,Aiface-Magnum,Ai Face Magnum,Ai Face Magnum,eSSL,no,no,11,2,5,0
Face Recognition,Arion,Ai Face Arion,Ai Face Arion,eSSL,no,no,0,0,0,0
Face Recognition,ERIS,Ai Face ERIS,Ai Face ERIS,eSSL,no,no,11,2,5,0
Face Recognition,MB160,MB160,MB160,eSSL,no,no,0,0,0,0
Face Recognition,MB20,MB20,MB20,eSSL,no,no,0,0,0,0
Face Recognition,Magnum_lite,Ai Face Magnum Lite,Ai Face Magnum Lite,eSSL,no,no,0,0,0,0
Face Recognition,Neptune,Ai Face Neptune,Ai Face Neptune,eSSL,no,no,0,0,0,0
Face Recognition,SilkBio-101TC_1,Silk Bio 101 TC,Silk Bio 101 TC,eSSL,no,no,0,0,0,0
Face Recognition,Uranus,Ai Face Uranus,Ai Face Uranus,eSSL,no,no,0,0,0,0
Face Recognition,aiface-mercury-access,Ai Face Mercury Access,Ai Face Mercury Access,eSSL,no,no,0,0,0,0
Face Recognition,uFace301,U Face 301,U Face 301,eSSL,no,no,0,0,0,0
Face Recognition,uface-302,U Face 302,U Face 302,eSSL,no,no,0,0,0,0
Metal Detectors,D270-1-IP54,D270-1-IP54,D270-1-IP54,eSSL,no,no,0,0,0,0
Metal Detectors,D270-18-IP54,D270-18-IP54,D270-18-IP54,eSSL,no,no,0,0,0,0
Metal Detectors,D270-18-IP65,D270-18-IP65,D270-18-IP65,eSSL,no,no,0,0,0,0
Metal Detectors,D270-9-IP54,D270-9-IP54,D270-9-IP54,eSSL,no,no,0,0,0,0
Metal Detectors,D330-18-IP65,D330-18-IP65,D330-18-IP65,eSSL,no,no,0,0,0,0
Metal Detectors,D330-33-IP65,D330-33-IP65,D330-33-IP65,eSSL,no,no,0,0,0,0
Metal Detectors,D468-6,D468-6,D468-6,eSSL,no,no,0,0,0,0
